,url,plist,movieidlist,plotrepr
20,https://www.imdb.com/list/ls022702128/,"['people are trapped', 'strangers are trapped together']","['tt2275783', 'tt3528758', 'tt0309698', 'tt0123755', 'tt8975028', 'tt1187064', 'tt8781414', 'tt0112040', 'tt0052520', 'tt1182345', 'tt1631707', 'tt6193336', 'tt2131532', 'tt8788458', 'tt7332652', 'tt0450340', 'tt1016301', 'tt1258197', 'tt5886046', 'tt0491145', 'tt0959329', 'tt6888938', 'tt3839880', 'tt0395585', 'tt1586753', 'tt0089869', 'tt1999995', 'tt5159414', 'tt0242527', 'tt0297284', 'tt1333050', 'tt1790864', 'tt1119191', 'tt8228288', 'tt1082807', 'tt0380113', 'tt0387564', 'tt0374563', 'tt1314655', 'tt5748392', 'tt9537532', 'tt2531362', 'tt1452628', 'tt9348718', 'tt3118452', 'tt0411008', 'tt9067020', 'tt8670784', 'tt1535616', 'tt1220706', 'tt1711018', 'tt0499484']",people are trapped
21,https://www.imdb.com/list/ls025417042/,['no one dies'],"['tt0074486', 'tt0286106', 'tt0022913', 'tt0230600', 'tt0138704', 'tt0099582', 'tt0164181', 'tt0185937', 'tt0084516', 'tt0384806', 'tt0450385', 'tt0090655', 'tt0327162', 'tt1457767', 'tt0081738', 'tt0082334', 'tt2321549']",no one dies
22,https://www.imdb.com/list/ls028812636/,"['villains are the main characters', 'the main character is the villain']","['tt0086879', 'tt0066921', 'tt1323594', 'tt0469494', 'tt0051036', 'tt0106856', 'tt0099763', 'tt0993846', 'tt0040746', 'tt0036775', 'tt0416320', 'tt0396171', 'tt0144084', 'tt0044391', 'tt0119361', 'tt0056687', 'tt2872718', 'tt0044008', 'tt0082766', 'tt2267998', 'tt0094721', 'tt0103905', 'tt0139654']",villains are the main characters
23,https://www.imdb.com/list/ls031076691/,['it rains a lot'],"['tt0120696', 'tt0309698', 'tt0264395', 'tt0120685', 'tt0107290', 'tt0316356', 'tt0114369']",it rains a lot
24,https://www.imdb.com/list/ls032062378/,"['bad guys win', 'hero loses', 'the bad guy wins', 'bad guy wins', 'bad guy win']","['tt0073486', 'tt0468569', 'tt0137523', 'tt0080684', 'tt0102926', 'tt0477348', 'tt0096163', 'tt0209144', 'tt0070917', 'tt0088846', 'tt0117381', 'tt0309698', 'tt0387564', 'tt0137363', 'tt0409459', 'tt0119099', 'tt0121766', 'tt0183649', 'tt0212985', 'tt0325805', 'tt0087803', 'tt0985699', 'tt1847746', 'tt1258120', 'tt0115988', 'tt2267998', 'tt1954470', 'tt2872718', 'tt0103772', 'tt0082089', 'tt0119167']",hero loses
25,https://www.imdb.com/list/ls044879599/,['everyone dies'],"['tt3748528', 'tt3460252', 'tt1245492', 'tt1601913', 'tt0057012', 'tt0065462', 'tt0448134', 'tt1527186', 'tt1921064', 'tt0020629', 'tt1187064', 'tt0177971', 'tt0448011', 'tt0116477', 'tt0097889', 'tt0092879', 'tt0061452', 'tt0119642', 'tt0120866', 'tt0335245', 'tt0048281', 'tt0266308', 'tt0069945']",everyone dies
26,https://www.imdb.com/list/ls046117163/,['underdogs win'],"['tt0071771', 'tt0075148', 'tt0074174', 'tt0076723', 'tt0077864', 'tt0078902', 'tt0083675', 'tt0087538', 'tt0091217', 'tt0089695', 'tt0097815', 'tt0097659', 'tt0104868', 'tt0108002', 'tt0106611', 'tt0110364', 'tt0116778', 'tt0210945', 'tt0191397', 'tt0180734', 'tt0291341', 'tt0265662', 'tt0326429', 'tt0349825', 'tt0364725', 'tt0352248', 'tt0453729', 'tt0385726', 'tt0445990', 'tt0871510', 'tt0441773', 'tt0878804', 'tt1057500', 'tt1291584', 'tt1210166', 'tt3001638', 'tt3076658', 'tt1083452', 'tt2097298', 'tt4832640']",underdogs win
27,https://www.imdb.com/list/ls047125670/,['kids get bullied'],"['tt5834036', 'tt0384793', 'tt2368749', 'tt3792884', 'tt6000818', 'tt1340418', 'tt0386284', 'tt0429589', 'tt1083844', 'tt1212451', 'tt6205872', 'tt2585548', 'tt4225622', 'tt0478976', 'tt0288439', 'tt0138317', 'tt0251091', 'tt0953318', 'tt0115676', 'tt2077721', 'tt1836099', 'tt0821462', 'tt0240380', 'tt0303732', 'tt0398808', 'tt0242193', 'tt0074285', 'tt0319970', 'tt1939659', 'tt1106860', 'tt0303847', 'tt0085334', 'tt1706593', 'tt2122313', 'tt0988108', 'tt2245188', 'tt0097115', 'tt1930315', 'tt4135218', 'tt2650978', 'tt3560580', 'tt0808315', 'tt1196141', 'tt2334896', 'tt1433811', 'tt2468826', 'tt0817538', 'tt0356561', 'tt0033563', 'tt1282140', 'tt0363589', 'tt0027569', 'tt0082346', 'tt5612742', 'tt1753811', 'tt0396592', 'tt1390535', 'tt1539991', 'tt0099582', 'tt0472268', 'tt4178092', 'tt1956502', 'tt2523832', 'tt0172493', 'tt5016946', 'tt0082500', 'tt2385101', 'tt1041753', 'tt0116493', 'tt0279037', 'tt0097493', 'tt2339732', 'tt3526286', 'tt2106476', 'tt4950110', 'tt3313864', 'tt1396484', 'tt0099864', 'tt0087538', 'tt0091326', 'tt0097647', 'tt1155076', 'tt0064541', 'tt3863484', 'tt2086830', 'tt5643272', 'tt0095484', 'tt0044821', 'tt1228987', 'tt1139797', 'tt1800373', 'tt0057261', 'tt0085867', 'tt3393762', 'tt0978762', 'tt0074875', 'tt0273799', 'tt0377091', 'tt0377092', 'tt1679235']",kids get bullied
28,https://www.imdb.com/list/ls048541135/,['nothing bad happens'],"['tt0817177', 'tt0119822', 'tt0101414', 'tt0490084', 'tt0832266', 'tt0147800', 'tt1564367', 'tt2771200', 'tt0804497', 'tt0446029', 'tt1631867', 'tt0414387', 'tt0178737', 'tt3896198', 'tt0795421', 'tt2210769', 'tt0458352', 'tt3799694', 'tt0054698', 'tt0343660', 'tt0119217', 'tt0910970', 'tt0457939', 'tt1055292', 'tt1216492', 'tt0892318', 'tt0467406', 'tt1045658', 'tt1142988']",nothing bad happens
29,https://www.imdb.com/list/ls049550229/,"['kids die', 'child dies', 'children die']","['tt0808279', 'tt0072684', 'tt1191111', 'tt8359848', 'tt0383028', 'tt4263482', 'tt0074486', 'tt0031381', 'tt0870984', 'tt1527186', 'tt0884328', 'tt0425112', 'tt0117951', 'tt0457430', 'tt0887912', 'tt0101985', 'tt5715874', 'tt1242460', 'tt0363589', 'tt0120586', 'tt0289879', 'tt5109784', 'tt0103793', 'tt1392170', 'tt1951266', 'tt1801552', 'tt0048545', 'tt4003440', 'tt0108394', 'tt7784604', 'tt2543164']",kids die
